Iteration	Posterior	Likelihood	Prior	clock_bg	extirpation_rate[1]	extirpation_rate[2]	extirpation_rate[3]	dispersal_rate[1][1]	dispersal_rate[1][2]	dispersal_rate[2][1]	dispersal_rate[2][2]	dispersal_rate[3][1]	dispersal_rate[3][2]	allopatry_prob	sympatry_prob
119	-1615.46	-48.3097	-1567.15	0.23171	0.00894413	0.106978	0.600448	0.0987546	0.0103207	0.00487749	0.0574819	0.0810679	0.33958	0.0862564	0.913744
120	-1616.26	-47.1903	-1569.07	0.303843	0.00894413	0.163887	0.600448	0.108693	0.0103207	0.00487749	0.0867153	0.0817485	0.33958	0.146733	0.853267
121	-1615.89	-46.017	-1569.87	0.285459	0.00842024	0.18471	0.744379	0.0700485	0.00737601	0.00487749	0.0649449	0.0817485	0.33958	0.137752	0.862248
122	-1617.3	-46.6462	-1570.66	0.373108	0.0117523	0.14588	0.744379	0.116863	0.0047019	0.00487749	0.0649449	0.0639567	0.33958	0.137752	0.862248
123	-1617.54	-46.5669	-1570.97	0.262179	0.00860711	0.246902	0.79191	0.118606	0.00382243	0.00464182	0.0649449	0.0639567	0.33958	0.126522	0.873478
124	-1616.53	-47.8024	-1568.72	0.259542	0.00731579	0.246902	0.547167	0.187138	0.00382243	0.00464182	0.0649449	0.0639567	0.308944	0.091792	0.908208
125	-1615.32	-46.8679	-1568.45	0.404664	0.0118655	0.253189	0.547167	0.187138	0.00859564	0.00625263	0.0649449	0.101362	0.211338	0.00629457	0.993705
126	-1615.55	-44.4807	-1571.07	0.423516	0.0118655	0.341431	0.71563	0.187138	0.00496569	0.00646063	0.0502771	0.0645985	0.252905	0.00629457	0.993705
127	-1616.57	-45.0119	-1571.56	0.523716	0.0118655	0.307985	0.71563	0.137121	0.012801	0.00430265	0.0474165	0.0932084	0.252905	0.00629457	0.993705
128	-1617.49	-45.6288	-1571.86	0.653712	0.0118655	0.20276	0.785287	0.137121	0.012801	0.00575119	0.0474165	0.0605654	0.220085	0.00629457	0.993705
129	-1613.66	-45.9054	-1567.76	0.29654	0.0118655	0.234519	0.724602	0.101982	0.012801	0.00575119	0.0669463	0.0523035	0.220085	0.00629457	0.993705
130	-1612.06	-44.8373	-1567.23	0.353825	0.0118655	0.177805	0.724602	0.08198	0.0133649	0.00417105	0.0669463	0.0433817	0.196189	0.00629457	0.993705
131	-1612.42	-45.8608	-1566.56	0.313356	0.0129732	0.135168	0.724602	0.08198	0.00910459	0.00417105	0.0897002	0.0399086	0.196189	0.00629457	0.993705
132	-1610.83	-44.8664	-1565.97	0.470429	0.0111485	0.141692	0.450299	0.0623464	0.0119993	0.00272644	0.0825932	0.0435798	0.1217	0.145601	0.854399
133	-1613.54	-45.3721	-1568.17	0.506029	0.00896873	0.220507	0.450299	0.10006	0.0119993	0.00309396	0.105906	0.0570141	0.161058	0.125363	0.874637
134	-1612.46	-46.7382	-1565.72	0.430858	0.00927867	0.220507	0.302408	0.10006	0.0166879	0.0045685	0.105906	0.0427798	0.153793	0.107647	0.892353
135	-1612.84	-47.0291	-1565.81	0.500615	0.0119752	0.168041	0.302408	0.10006	0.0166879	0.00706055	0.105906	0.0429484	0.140192	0.107647	0.892353
136	-1609.81	-46.0905	-1563.72	0.337368	0.00878769	0.168041	0.35528	0.0645178	0.0276075	0.00474941	0.0643176	0.0429484	0.140192	0.0594923	0.940508
137	-1612.36	-49.0392	-1563.33	0.276615	0.00931316	0.246296	0.35528	0.0763965	0.0318959	0.00486226	0.108916	0.0386836	0.140192	0.00574843	0.994252
138	-1611.67	-45.7474	-1565.92	0.48921	0.00931316	0.148771	0.35528	0.0734138	0.0318959	0.00458675	0.10253	0.0386836	0.16416	0.0842394	0.915761
139	-1612.04	-44.5197	-1567.52	0.59295	0.00974898	0.197525	0.414332	0.084873	0.0318959	0.00635708	0.0681731	0.0386836	0.133211	0.0842394	0.915761
140	-1611.35	-43.762	-1567.59	0.446895	0.00974898	0.303074	0.414332	0.0514652	0.0247045	0.00635708	0.0681731	0.0386836	0.221261	0.0842394	0.915761
141	-1611.45	-43.3649	-1568.08	0.611416	0.0135543	0.276025	0.355597	0.0812029	0.0207286	0.00635708	0.0454602	0.0313158	0.192592	0.0842394	0.915761
142	-1610.83	-43.6712	-1567.16	0.525731	0.00924445	0.276025	0.355597	0.0812029	0.0207286	0.00864793	0.0632179	0.023706	0.192592	0.0605695	0.939431
143	-1612.14	-43.3191	-1568.82	0.724864	0.00924445	0.276025	0.355597	0.0812029	0.0418824	0.00757724	0.0632179	0.0202042	0.133641	0.0743533	0.925647
144	-1612.48	-43.893	-1568.58	0.652571	0.0115673	0.276025	0.355597	0.0812029	0.0467142	0.00534073	0.0632179	0.0359927	0.161744	0.0743533	0.925647
