Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
123	-11.5974	-26.2421	14.6447	0.172816	0.0376672	0.21542	0.136041	0.166591	0.0271512	0.0805623	0.0535127	0.0741373	0.0804213	0.0359266	0.762041	0.0651427
124	-16.6065	-26.1879	9.58139	0.3613	0.0719697	0.0730664	0.136041	0.166591	0.0271512	0.0805623	0.0535127	0.137265	0.149402	0.518199	0.588401	0.0502991
125	-11.4455	-25.2914	13.8459	0.481967	0.030681	0.0730664	0.136041	0.166591	0.0271512	0.0359428	0.218938	0.162996	0.0245239	0.111379	0.422911	0.0951218
126	-10.3212	-23.7305	13.4093	0.495596	0.0426973	0.142767	0.136041	0.283952	0.0271512	0.104137	0.016954	0.162996	0.0506808	0.0635907	0.411784	0.0926192
127	-18.9175	-28.6821	9.76459	0.428906	0.0383229	0.140886	0.319679	0.0622042	0.351585	0.104137	0.00395148	0.280895	0.0803501	0.0134297	0.521523	0.0495712
128	-21.5131	-28.4451	6.93202	0.409111	0.0221318	0.390029	0.259301	0.0188352	0.357743	0.000886363	0.0233355	0.280895	0.0803501	0.245192	0.543606	0.0472834
129	-10.211	-24.6378	14.4268	0.590509	0.0452356	0.0392664	0.0356436	0.170352	0.0561771	0.000886363	0.0233355	0.147817	0.153924	0.25658	0.382211	0.0272797
130	-7.46592	-25.8816	18.4157	0.704773	0.0231372	0.0392664	0.0303708	0.0770289	0.0561771	0.00370847	0.0856672	0.0644134	0.0692554	0.0813035	0.246066	0.0491615
131	-10.0921	-26.7198	16.6277	0.45986	0.0812276	0.112486	0.0853222	0.0695695	0.0561771	0.00370847	0.0856672	0.0644134	0.0692554	0.0813035	0.48377	0.0563698
132	-8.14078	-25.3225	17.1817	0.749709	0.0370572	0.112486	0.0853222	0.0769085	0.0561771	0.00414969	0.0856672	0.0644134	0.0502478	0.0813035	0.202272	0.0480186
133	-15.6212	-26.9694	11.3483	0.376199	0.0814277	0.112486	0.0853222	0.181446	0.0561771	0.239714	0.20579	0.108113	0.0852936	0.0813035	0.3546	0.269201
134	-13.5259	-26.5667	13.0408	0.318396	0.0272596	0.00807212	0.0853222	0.181446	0.0561771	0.239714	0.152171	0.108113	0.0193591	0.190187	0.479606	0.201998
135	-12.7741	-25.6622	12.8881	0.50684	0.0357562	0.00807212	0.0853222	0.181446	0.0561771	0.239714	0.0791088	0.188531	0.0552977	0.153668	0.133311	0.35985
136	-15.4995	-26.2954	10.7959	0.367749	0.0979789	0.0305862	0.0853222	0.181446	0.0224601	0.239714	0.0362357	0.188531	0.0552977	0.354739	0.0679442	0.564307
137	-11.2154	-25.35	14.1346	0.339642	0.060018	0.0124509	0.0853222	0.17416	0.011386	0.158803	0.0362357	0.010026	0.0552977	0.354739	0.385636	0.274722
138	-7.65106	-25.5512	17.9001	0.465625	0.0790653	0.0237007	0.0853222	0.110818	0.011386	0.0830251	0.0362357	0.010026	0.0552977	0.0870098	0.341387	0.192988
139	-8.30927	-26.3889	18.0796	0.221317	0.0396797	0.0331153	0.0600573	0.127844	0.011386	0.0830251	0.0459398	0.0248356	0.0810571	0.0570007	0.444605	0.334078
140	-5.12041	-24.3739	19.2535	0.4711	0.0259965	0.0331153	0.0600573	0.127844	0.011386	0.0324664	0.0459398	0.0211083	0.00951312	0.0791243	0.284554	0.244346
141	-13.8506	-27.7663	13.9157	0.19916	0.0383822	0.0331153	0.0600573	0.150733	0.011386	0.0578309	0.0459398	0.509508	0.0185004	0.0548728	0.238802	0.562038
142	-18.19	-29.1512	10.9611	0.118205	0.11861	0.0967351	0.0600573	0.0792356	0.0944626	0.0629167	0.0459398	0.509508	0.0646197	0.143702	0.548213	0.333581
143	-10.4635	-27.0545	16.5911	0.407771	0.0502696	0.0967351	0.0600573	0.0631898	0.0944626	0.0629167	0.0459398	0.0725321	0.0646197	0.102071	0.433707	0.158522
144	-9.24165	-25.9822	16.7405	0.833927	0.0474632	0.0967351	0.0600573	0.0687369	0.0931366	0.0629167	0.0459398	0.0561693	0.0646197	0.102071	0.0841067	0.0819665
145	-9.80629	-27.0189	17.2126	0.551205	0.0309578	0.0239015	0.0600573	0.0903047	0.0413751	0.0629167	0.0459398	0.0309087	0.16221	0.102071	0.0826421	0.366153
146	-6.70101	-24.5655	17.8645	0.545996	0.0532963	0.00733457	0.0209679	0.116377	0.0413751	0.0260812	0.0318846	0.0453948	0.0142065	0.228531	0.0635476	0.390457
147	-11.6702	-25.3618	13.6917	0.674997	0.0437665	0.00733457	0.0158669	0.165968	0.167051	0.269181	0.212856	0.0453948	0.0174217	0.0578935	0.139764	0.18524
